soc_code,typical_education,typical_experience,typical_training,growth_pct,openings_k,median_wage,current_emp_k,proj_emp_k
51-9190,,,,-2.3,,,663.8,648.4
51-9191,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,1.0,1.3,45210.0,12.200000000000001,12.3
51-9192,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.6,1.6,41460.0,14.7,15.2
51-9193,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,7.2,0.8,40160.0,7.1,7.6
51-9194,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-0.7,0.9,40450.0,8.7,8.6
51-9195,High school diploma or equivalent,No experience required,Long-term on-the-job training,6.2,5.5,45690.0,41.699999999999996,44.3
51-9196,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-6.3,8.1,49390.0,97.5,91.4
51-9197,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,2.3,2.5,55580.0,20.9,21.4
51-9198,High school diploma or equivalent,No experience required,Short-term on-the-job training,-8.9,23.6,38220.0,168.5,153.5
51-9199,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,0.5,31.6,38820.0,292.8,294.3
53-1000,,,,3.7,,,619.9,643.0
53-1041,High school diploma or equivalent,Less than 5 years,No on-the-job training,5.2,1.1,63940.0,10.3,10.8
53-1047,High school diploma or equivalent,Less than 5 years,No on-the-job training,3.7,61.3,61890.0,609.7,632.2
53-2000,,,,6.0,,,327.2,347.0
53-2010,,,,4.3,,,155.5,162.2
53-2011,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,3.9,11.7,226600.0,100.0,103.9
53-2012,Postsecondary nondegree award,No experience required,Moderate-term on-the-job training,5.1,6.6,122670.0,55.5,58.3
53-2020,,,,2.5,,,41.0,42.0
53-2021,Associate's degree,No experience required,Long-term on-the-job training,1.2,2.2,144580.0,24.099999999999998,24.4
53-2022,High school diploma or equivalent,No experience required,Long-term on-the-job training,4.2,1.6,56750.0,16.900000000000002,17.6
53-2031,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,9.2,19.8,67130.0,130.8,142.9
53-3000,,,,5.3,,,4852.0,5111.1
53-3011,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,-1.3,1.4,34330.0,12.299999999999999,12.1
53-3030,,,,5.5,,,3766.4,3974.4
53-3031,High school diploma or equivalent,No experience required,Short-term on-the-job training,8.8,51.3,37130.0,451.5,491.3
53-3032,Postsecondary nondegree award,No experience required,Short-term on-the-job training,4.0,237.6,57440.0,2235.1,2324.4
53-3033,High school diploma or equivalent,No experience required,Short-term on-the-job training,7.3,120.2,44140.0,1079.6999999999998,1158.6
53-3050,,,,4.7,,,993.9999999999999,1040.6
53-3051,High school diploma or equivalent,No experience required,Short-term on-the-job training,0.2,61.0,47040.0,387.3,388.2
53-3052,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,4.3,20.9,57440.0,158.79999999999998,165.6
53-3053,No formal educational credential,No experience required,Short-term on-the-job training,6.7,36.3,36670.0,243.9,260.3
53-3054,No formal educational credential,No experience required,Short-term on-the-job training,11.1,22.6,36220.0,204.0,226.6
53-3099,No formal educational credential,No experience required,Short-term on-the-job training,6.0,11.1,36260.0,79.3,84.0
53-4000,,,,1.2,,,89.10000000000001,90.2
53-4010,,,,0.7,,,30.1,30.3
53-4011,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,0.7,2.2,77400.0,27.0,27.2
53-4013,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,0.3,0.2,58030.0,3.1,3.1
53-4022,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,1.0,1.0,65480.0,11.0,11.1
53-4031,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,1.1,3.1,74080.0,36.800000000000004,37.2
53-4041,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.4,0.9,84830.0,9.6,9.9
53-4099,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.9,0.2,49330.0,1.5,1.6
53-5000,,,,1.3,,,84.30000000000001,85.4
53-5011,No formal educational credential,No experience required,Moderate-term on-the-job training,2.3,3.9,49610.0,32.099999999999994,32.8
53-5020,,,,0.5,,,43.5,43.7
53-5021,Postsecondary nondegree award,Less than 5 years,No on-the-job training,0.5,4.3,85540.0,40.699999999999996,40.9
53-5022,Postsecondary nondegree award,Less than 5 years,No on-the-job training,1.4,0.3,51880.0,2.8,2.8
53-5031,Postsecondary nondegree award,Less than 5 years,No on-the-job training,1.6,1.1,101320.0,8.9,9.0
53-6000,,,,2.0,,,337.40000000000003,344.1
53-6011,High school diploma or equivalent,No experience required,Short-term on-the-job training,-3.3,0.3,58490.0,2.9,2.8
53-6021,No formal educational credential,No experience required,Short-term on-the-job training,3.0,18.5,34600.0,135.8,139.8
53-6030,,,,0.3,,,128.1,128.5
53-6031,No formal educational credential,No experience required,Short-term on-the-job training,-1.0,14.4,34850.0,100.0,99.0
53-6032,High school diploma or equivalent,No experience required,Short-term on-the-job training,5.1,4.3,41540.0,28.1,29.5
53-6041,High school diploma or equivalent,No experience required,Moderate-term on-the-job training,3.7,0.8,58480.0,7.8999999999999995,8.2
